country,year,gdp_deflator_index_weo,gdp_nominal_weo,gdp_real_growth,gdp_real_level_weo,ppp_gdp,gdp_deflator_inflation_weo,gdp_nominal_wb,gdp_real_wb,ppp_gdp_wb,gdp_deflator_inflation_wb,broad_money_current_lcu_wb,broad_money_gdp_wb,gross_savings_gdp_wb,lending_rate_wb,policy_rate_nominal,fx_real_change,household_debt_gdp,private_debt_gdp,m2_nominal_bcra,market_rate_proxy_bcra,natural_rate_hlw,natural_rate_lm,investment_total_nominal,investment_sensitive_nominal,m3_nominal_oecd,yield_10y_nominal_oecd,m2_nominal_bdl,m3_nominal_bdl,debt_gdp,tax_revenue_gdp,interest_paid_gdp,overall_balance_gdp,primary_balance_gdp,gdp_nominal,gdp_real,gdp_deflator_inflation,broad_money_gdp,private_savings_gdp,inflation_target,reserve_currency_flag,threshold_debt_gdp,debt_nominal,tax_revenue_nominal,interest_paid_nominal,m2_nominal,money_source,housing_credit_share,idec_source,avg_debt_nominal,effective_nominal_rate_raw,inflation_forward_12m,yield_source,yield_10y_nominal,policy_source,hlw_source,real_market_rate,m2_to_gdp_ratio,natural_rate_favar,natural_rate_hp,natural_rate_gdp_trend
Argentina,1994,66.168,287.835,5.83,435.006,406656000000.0,2.855543983460551,257440000000.0,358592053441.545,349701129033.532,2.84933971509302,53471032000.0,20.7702889993785,15.6483624533872,,0.6025,,3.925,24.275,,,,,,,,,,,28.426,21.688,1.397,-1.25,0.147,287835000000.0,435006000000.0,2.855543983460551,20.7702889993785,15.6483624533872,2.0,0,80.0,81819977099.99998,62425654800.0,4021054950.0,53471032000.0,world_bank_broad_money_lcu,0.1616889804325437,bis_household_share_proxy,81819977099.99998,4.914514880742982,3.164671744649983,realized_funding_cost_proxy,4.914514880742982,,,-2.5621717446499828,0.1857697361335487,-2.5621717446499828,-0.8791993542036389,5.83
Argentina,1995,68.262,288.497,-2.845,422.63,403369000000.0,3.164671744649983,258031750000.0,348389357874.283,346874927371.834,3.16512339016516,51970875000.0,20.1412713745498,16.5116322700598,,0.7525,-6.24822621721437,4.025,24.675,,,,,,,,,,,30.749,20.788,1.6670000000000005,-2.075,-0.408,288497000000.0,422630000000.0,3.164671744649983,20.1412713745498,16.5116322700598,2.0,0,80.0,88709942530.0,59972756360.0,4809244990.000001,51970875000.0,world_bank_broad_money_lcu,0.1631205673758865,bis_household_share_proxy,85264959815.0,5.640353317980392,-0.0512730362427049,realized_funding_cost_proxy,5.640353317980392,,,0.8037730362427049,0.1801435543523849,-0.8791993542036389,1.645686688822267,1.4925
Argentina,1996,68.227,304.282,5.527,445.987,433455000000.0,-0.0512730362427049,272149750000.0,367643757074.802,372747062317.193,-0.0523754965904146,61752085000.0,22.6904801492561,17.1300773563084,,6.230833333333333,-1.9448247933586127,4.175,25.9,,,,,,,,,,,32.551,19.876,1.845,-2.811,-0.966,304282000000.0,445987000000.0,-0.0512730362427049,22.6904801492561,17.1300773563084,2.0,0,80.0,99046833820.0,60479090320.00001,5614002900.0,61752085000.0,world_bank_broad_money_lcu,0.1611969111969112,bis_household_share_proxy,93878388175.0,5.98008019645039,-0.4646254415407447,realized_funding_cost_proxy,5.98008019645039,,,6.695458774874078,0.2029436016589874,1.645686688822267,5.337865511344791,2.837333333333333
Argentina,1997,67.91,327.436,8.111,482.16,476692000000.0,-0.4646254415407447,292859000000.0,397463514160.866,409929944205.048,-0.46391313116429,77520318000.0,26.4701846280975,16.6642824266429,,6.809166666666666,2.964363844533935,4.675,28.225,,,,,,,,,,,31.676,20.748,2.09,-1.838,0.252,327436000000.0,482160000000.0,-0.4646254415407447,26.4701846280975,16.6642824266429,2.0,0,80.0,103718627360.0,67936421280.0,6843412399.999999,77520318000.0,world_bank_broad_money_lcu,0.1656333038086802,bis_household_share_proxy,101382730590.0,6.750077020193227,-1.7051980562509228,realized_funding_cost_proxy,6.750077020193227,,,8.51436472291759,0.2367495266250504,3.362856197346097,7.830213084541399,4.15575
Argentina,1998,66.752,334.244,3.85,500.725,500611000000.0,-1.7051980562509228,298948250000.0,412766570325.764,430497422050.132,-1.70527962400085,85650721000.0,28.650684859336,16.1297343275958,,6.444166666666667,3.939762792166146,5.75,30.875,,,,,,,,,,,34.147,21.303,2.348,-1.827,0.521,334244000000.0,500725000000.0,-1.7051980562509228,28.650684859336,16.1297343275958,2.0,0,80.0,114134298680.0,71203999320.0,7848049119.999999,85650721000.0,world_bank_broad_money_lcu,0.1862348178137652,bis_household_share_proxy,108926463020.0,7.204905862553361,-1.836649089165865,realized_funding_cost_proxy,7.204905862553361,,,8.280815755832531,0.256252082311126,4.346448109043385,7.515808157833423,4.094600000000001
Argentina,1999,65.526,316.998,-3.385,483.773,490507000000.0,-1.836649089165865,283523000000.0,398792535409.293,421808836974.514,-1.83655839220664,89150058000.0,31.44367758524,13.6619163753345,,6.79,9.761008692329742,6.55,32.2,,,,,,,,,,,38.917,21.766,3.0460000000000003,-3.705,-0.659,316998000000.0,483773000000.0,-1.836649089165865,31.44367758524,13.6619163753345,2.0,0,80.0,123366111660.0,68997784680.0,9655759080.0,89150058000.0,world_bank_broad_money_lcu,0.2034161490683229,bis_household_share_proxy,118750205170.0,8.131151492477038,1.0377560052498458,realized_funding_cost_proxy,8.131151492477038,,,5.752243994750154,0.2812322412128783,6.009331256923412,7.617934588911431,2.2516000000000003
Argentina,2000,66.206,317.759,-0.789,479.956,497660000000.0,1.0377560052498458,284203750000.0,395646066535.875,427960175928.847,1.03728710073175,90514975371.93,31.8486210586349,14.3684376958258,,7.724166666666666,-0.7047327967918959,7.199999999999999,30.175,,,,,,,,,,,40.833,21.83,3.628,-3.417,0.211,317759000000.0,479956000000.0,1.0377560052498458,31.8486210586349,14.3684376958258,2.0,0,80.0,129750532469.99998,69366789700.0,11528296520.0,90514975371.93,world_bank_broad_money_lcu,0.2386081193040596,bis_household_share_proxy,126558322065.0,9.1090781956473,-1.0965773494849396,realized_funding_cost_proxy,9.1090781956473,,,8.820744016151606,0.2848541673782017,7.612725452905193,17.2996370876568,2.6628000000000003
Argentina,2001,65.48,300.421,-4.409,458.795,486430000000.0,-1.0965773494849396,268696750000.0,378202665751.853,418303583400.374,-1.09576771833679,72922287000.0,27.1392515912455,14.2140728227831,,67.88181818181818,4.894521424377074,6.525,31.3,,,,,,,,,,,48.007,21.068,4.112,-5.364,-1.252,300421000000.0,458795000000.0,-1.0965773494849396,27.1392515912455,14.2140728227831,2.0,0,80.0,144223109470.0,63292696280.0,12353311520.000002,72922287000.0,world_bank_broad_money_lcu,0.2084664536741214,bis_household_share_proxy,136986820970.0,9.01788320403856,30.555894929749527,realized_funding_cost_proxy,9.01788320403856,,,37.32592325206865,0.2427336537725392,13.738818348344108,25.746425117855196,0.6756000000000002
Argentina,2002,85.488,112.458,-10.894,408.812,440172000000.0,30.555894929749527,97724004251.8602,336999433710.193,378523791536.921,30.555204053903,87294434000.0,27.9270695501951,21.3431768782392,,41.46833333333333,-54.66246001958497,4.3,74.8,,,,,,,,,,,147.203,19.943,2.145,-1.91,0.235,112458000000.0,408812000000.0,30.555894929749527,27.9270695501951,21.3431768782392,2.0,0,80.0,165541549740.0,22427498940.000004,2412224100.0,87294434000.0,world_bank_broad_money_lcu,0.0574866310160427,bis_household_share_proxy,154882329605.0,1.557455977161469,10.375725247988022,realized_funding_cost_proxy,1.557455977161469,,,31.09260808534531,0.776240320830888,18.25446702082965,21.965836483048157,-3.1254
Argentina,2003,94.358,142.431,8.955,445.423,489059000000.0,10.375725247988022,127586973492.177,366780211148.674,420107758525.601,10.4957030215496,113164011000.0,30.1040572265399,21.7345330075457,,3.458333333333333,0.5617232075722178,2.7,46.8,63923768800.0,8.841616465863455,,,,,,,,,125.162,23.526,1.726,1.5,3.226,142431000000.0,445423000000.0,10.375725247988022,30.1040572265399,21.7345330075457,2.0,0,80.0,178269488220.0,33508317060.0,2458359060.0,63923768800.0,bcra_m2,0.0576923076923077,bis_household_share_proxy,171905518980.0,1.4300640692553988,5.979355221602822,bcra_badlar_proxy,8.841616465863455,,,-2.521021888269489,0.4488051674143971,16.094099492009246,6.792306510136384,-2.1044000000000005
