country,year,gdp_deflator_index_weo,gdp_nominal_weo,gdp_real_growth,gdp_real_level_weo,ppp_gdp,gdp_deflator_inflation_weo,gdp_nominal_wb,gdp_real_wb,ppp_gdp_wb,gdp_deflator_inflation_wb,broad_money_current_lcu_wb,broad_money_gdp_wb,gross_savings_gdp_wb,lending_rate_wb,policy_rate_nominal,fx_real_change,household_debt_gdp,private_debt_gdp,m2_nominal_bcra,market_rate_proxy_bcra,natural_rate_hlw,natural_rate_lm,investment_total_nominal,investment_sensitive_nominal,m3_nominal_oecd,yield_10y_nominal_oecd,m2_nominal_bdl,m3_nominal_bdl,debt_gdp,tax_revenue_gdp,interest_paid_gdp,overall_balance_gdp,primary_balance_gdp,gdp_nominal,gdp_real,gdp_deflator_inflation,broad_money_gdp,private_savings_gdp,inflation_target,reserve_currency_flag,threshold_debt_gdp,debt_nominal,tax_revenue_nominal,interest_paid_nominal,m2_nominal,money_source,housing_credit_share,idec_source,avg_debt_nominal,effective_nominal_rate_raw,inflation_forward_12m,yield_source,yield_10y_nominal,policy_source,hlw_source,real_market_rate,m2_to_gdp_ratio,natural_rate_favar,natural_rate_hp,natural_rate_gdp_trend
Italy,2000,70.312,,3.882,,1546100913442.79,1.7569249471764747,1149661363439.38,1856863206512.55,1546100913442.79,1.75602880174426,,,21.0495051872142,7.02274166666667,4.0625,-4.696997753749788,21.85,75.825,,,2.3339952539807696,,264206.4,24551.7,,,,,108.743,43.948,5.83,-2.42,3.41,1149661363439.38,1856863206512.55,1.7569249471764747,,21.0495051872142,2.0,0,120.0,1250176256444.8848,505253176004.3386,67025257488.51585,,,0.2881635344543356,oecd_table8_activity,1334536030721.848,5.022364023567203,3.0634884514734173,realized_funding_cost_proxy,5.022364023567203,euro_area_shared_policy_rate,nyfed_hlw_euro_area_proxy,0.9990115485265827,,1.137622036465099,0.958196131764944,2.163
Italy,2001,72.466,,2.006,,1602993647426.02,3.0634884514734173,1172041488805.87,1894119928193.34,1602993647426.02,3.06397974076236,,,21.4583867993019,7.28775,4.229166666666667,1.1497554340939242,23.375,80.1,,,2.66235855084914,,277322.0,26130.5,,,,,108.513,43.951,5.741,-3.181,2.56,1172041488805.87,1894119928193.34,3.0634884514734173,,21.4583867993019,2.0,0,120.0,1271817380747.914,515123954745.068,67286901872.345,,,0.29182272159800254,oecd_table8_activity,1260996818596.3994,5.336008852682218,3.3049982060552763,realized_funding_cost_proxy,5.336008852682218,euro_area_shared_policy_rate,nyfed_hlw_euro_area_proxy,0.9241684606113907,,0.7854620682384693,0.6547700419477244,2.2592
Italy,2002,74.861,,0.27,,1646072139397.13,3.3049982060552763,1281746271196.04,1899232719747.26,1646072139397.13,3.30500762478148,,,21.5493681800537,6.53650833333333,3.2083333333333335,2.1982060233517897,24.9,83.0,,,2.4072290488572725,,295667.7,27772.3,,,,,105.947,43.613,5.177,-2.88,2.297,1281746271196.04,1899232719747.26,3.3049982060552763,,21.5493681800537,2.0,0,120.0,1357971721944.0686,559008001256.729,66356004459.818985,,,0.3,oecd_table8_activity,1314894551345.9912,5.04648866267593,3.167203216628134,realized_funding_cost_proxy,5.04648866267593,euro_area_shared_policy_rate,nyfed_hlw_euro_area_proxy,0.041130116705199615,,-0.03864891181262892,0.1951865363377645,1.9280000000000002
Italy,2003,77.232,,0.067,,1678879072468.22,3.167203216628134,1582930016538.82,1900496731461.62,1678879072468.22,3.16726436365273,,,20.8027724624173,5.83035,2.25,5.711553863001151,26.5,86.025,,,2.11525180164757,,297848.6,28767.5,,,,,105.141,43.742,4.721,-3.226,1.495,1582930016538.82,1900496731461.62,3.167203216628134,,20.8027724624173,2.0,0,120.0,1664308448689.0808,692405247834.4106,74730126080.7977,,,0.3080499854693403,oecd_table8_activity,1511140085316.5747,4.945281169292931,2.629738968303297,realized_funding_cost_proxy,4.945281169292931,euro_area_shared_policy_rate,nyfed_hlw_euro_area_proxy,-0.3797389683032968,,-0.3335318452048326,-0.14093651684569108,1.5806
Italy,2004,79.263,,1.474,,1710606336265.03,2.629738968303297,1812808753294.75,1928510465814.16,1710606336265.03,2.62976042746949,,,21.1572675169173,5.50616666666667,2.0,1.6582273588187535,28.725,89.825,,,2.0128292365356875,,311288.4,29501.4,,,,,104.742,43.206,4.423,-3.461,0.962,1812808753294.75,1928510465814.16,2.629738968303297,,21.1572675169173,2.0,0,120.0,1898772144375.987,783242149948.5298,80180531158.22679,,,0.31978847759532425,oecd_table8_activity,1781540296532.534,4.500629669409364,2.084200698938976,realized_funding_cost_proxy,4.500629669409364,euro_area_shared_policy_rate,nyfed_hlw_euro_area_proxy,-0.08420069893897608,,-0.2659742726341748,-0.21967063794616135,1.5398
Italy,2005,80.915,,0.762,,1753016877957.85,2.084200698938976,1864982261286.85,1943213635518.5,1753016877957.85,2.08420453015475,,,20.6393820536421,5.313935,2.0208333333333335,-1.576425855513297,31.55,94.9,,,1.801693958655845,,324900.7,30717.1,,,,,106.176,42.955,4.297000000000001,-4.099,0.198,1864982261286.85,1943213635518.5,2.084200698938976,,20.6393820536421,2.0,0,120.0,1980163565743.926,801103130335.7665,80138287767.49596,,,0.33245521601685984,oecd_table8_activity,1939467855059.9565,4.131972982095059,2.2159055799295446,realized_funding_cost_proxy,4.131972982095059,euro_area_shared_policy_rate,nyfed_hlw_euro_area_proxy,-0.19507224659621114,,0.6845431445439707,0.015295013329390095,0.9158
Italy,2006,82.708,,1.799,,1895288582808.24,2.2159055799295446,1958563654385.64,1978181374737.88,1895288582808.24,2.21589142791035,,,20.8965123619071,5.62177916666667,2.7916666666666665,-0.4736260594775388,34.425,100.7,,,2.04881017751993,,341988.4,32771.8,,,,,106.253,43.954,4.201,-3.605,0.596,1958563654385.64,1978181374737.88,2.2159055799295446,,20.8965123619071,2.0,0,120.0,2081032639694.374,860867068648.6642,82279259120.74072,,,0.3418570009930486,oecd_table8_activity,2030598102719.15,4.051971633902422,2.466508681143309,realized_funding_cost_proxy,4.051971633902422,euro_area_shared_policy_rate,nyfed_hlw_euro_area_proxy,0.3251579855233575,,1.215202141396419,0.5264919638979273,0.8744
Italy,2007,84.748,,1.462,,2004029153747.96,2.466508681143309,2222524108127.65,2007108163772.48,2004029153747.96,2.46674492041734,,,21.2549511191841,6.3347,3.8541666666666665,0.4316301023180591,37.05,107.425,,,2.219651423388745,,356687.6,33967.7,,,,,103.454,45.274,4.495,-1.326,3.169,2222524108127.65,2007108163772.48,2.466508681143309,,21.2549511191841,2.0,0,120.0,2299290090822.379,1006225564713.7123,99902458660.33788,,,0.3448917849662555,oecd_table8_activity,2190161365258.3765,4.5614200051671645,2.404776513900031,realized_funding_cost_proxy,4.5614200051671645,euro_area_shared_policy_rate,nyfed_hlw_euro_area_proxy,1.4493901527666355,,1.652692250916518,1.2851291032461785,1.1128
Italy,2008,86.786,,-1.023,,2097398729606.2,2.404776513900031,2417508414187.19,1986572667176.02,2097398729606.2,2.40459496845904,,,19.3258482926466,6.83731,3.8541666666666665,0.624565200587468,38.425,115.1,,,1.9534462887795176,,354419.4,32140.0,,,,,105.788,45.167,4.659000000000001,-2.584,2.075,2417508414187.19,1986572667176.02,2.404776513900031,,19.3258482926466,2.0,0,120.0,2557433801200.344,1091916025435.9281,112631717016.9812,,,0.3338401390095569,oecd_table8_activity,2428361946011.3613,4.638176660690195,1.7733274952181244,realized_funding_cost_proxy,4.638176660690195,euro_area_shared_policy_rate,nyfed_hlw_euro_area_proxy,2.080839171448542,,1.1571797705568998,1.3872012487768266,0.8948
Italy,2009,88.325,,-5.305,,2054765138278.71,1.7733274952181244,2209484319012.65,1881181927615.29,2054765138278.71,1.77253535397509,,,17.8866725727368,4.75666666666667,1.2291666666666667,0.8426923136013675,41.1,121.575,,,0.7678026541177323,,321826.5,29372.5,,,,,116.121,45.996,4.184,-5.057,-0.873,2209484319012.65,1881181927615.29,1.7733274952181244,,17.8866725727368,2.0,0,120.0,2565675286080.6787,1016274407373.0585,92444823907.48927,,,0.33806292412091304,oecd_table8_activity,2561554543640.5117,3.608934431515387,0.597792244551365,realized_funding_cost_proxy,3.608934431515387,euro_area_shared_policy_rate,nyfed_hlw_euro_area_proxy,0.6313744221153017,,-1.3887780376598298,0.66117187725392,-0.46099999999999997
