FREQ,EER_TYPE,EER_BASKET,REF_AREA,UNIT_MEASURE,TIME_FORMAT,COLLECTION,TITLE_TS,TIME_PERIOD,OBS_VALUE,OBS_STATUS,OBS_CONF,OBS_PRE_BREAK
M,R,B,SA,882,,A,Saudi Arabia - Real - Broad (64 economies),1998-07,105.59,A,F,
M,R,B,SA,882,,A,Saudi Arabia - Real - Broad (64 economies),1998-08,105.28,A,F,
M,R,B,SA,882,,A,Saudi Arabia - Real - Broad (64 economies),1998-09,102.69,A,F,
M,R,B,SA,882,,A,Saudi Arabia - Real - Broad (64 economies),1998-10,99.07,A,F,
M,R,B,SA,882,,A,Saudi Arabia - Real - Broad (64 economies),1998-11,99.02,A,F,
M,R,B,SA,882,,A,Saudi Arabia - Real - Broad (64 economies),1998-12,98.05,A,F,
M,R,B,SA,882,,A,Saudi Arabia - Real - Broad (64 economies),1999-01,97.8,A,F,
M,R,B,SA,882,,A,Saudi Arabia - Real - Broad (64 economies),1999-02,99.16,A,F,
M,R,B,SA,882,,A,Saudi Arabia - Real - Broad (64 economies),1999-03,100.51,A,F,
M,R,B,SA,882,,A,Saudi Arabia - Real - Broad (64 economies),1999-04,99.32,A,F,
M,R,B,SA,882,,A,Saudi Arabia - Real - Broad (64 economies),1999-05,100.97,A,F,
M,R,B,SA,882,,A,Saudi Arabia - Real - Broad (64 economies),1999-06,101.24,A,F,
M,R,B,SA,882,,A,Saudi Arabia - Real - Broad (64 economies),1999-07,101.27,A,F,
M,R,B,SA,882,,A,Saudi Arabia - Real - Broad (64 economies),1999-08,99.49,A,F,
M,R,B,SA,882,,A,Saudi Arabia - Real - Broad (64 economies),1999-09,98.71,A,F,
M,R,B,SA,882,,A,Saudi Arabia - Real - Broad (64 economies),1999-10,97.69,A,F,
M,R,B,SA,882,,A,Saudi Arabia - Real - Broad (64 economies),1999-11,98.32,A,F,
M,R,B,SA,882,,A,Saudi Arabia - Real - Broad (64 economies),1999-12,98.79,A,F,
M,R,B,SA,882,,A,Saudi Arabia - Real - Broad (64 economies),2000-01,98.71,A,F,
M,R,B,SA,882,,A,Saudi Arabia - Real - Broad (64 economies),2000-02,99.42,A,F,
M,R,B,SA,882,,A,Saudi Arabia - Real - Broad (64 economies),2000-03,99.08,A,F,
M,R,B,SA,882,,A,Saudi Arabia - Real - Broad (64 economies),2000-04,99.32,A,F,
M,R,B,SA,882,,A,Saudi Arabia - Real - Broad (64 economies),2000-05,101.48,A,F,
M,R,B,SA,882,,A,Saudi Arabia - Real - Broad (64 economies),2000-06,99.66,A,F,
M,R,B,SA,882,,A,Saudi Arabia - Real - Broad (64 economies),2000-07,99.99,A,F,
M,R,B,SA,882,,A,Saudi Arabia - Real - Broad (64 economies),2000-08,101.15,A,F,
