country,variable,adf_statistic,adf_pvalue,stationary_5pct
Argentina,gdp_real_growth,-3.7845745707889256,0.003069139520186893,True
Argentina,gdp_deflator_inflation,1.6083490697545948,0.9978824088630396,False
Argentina,yield_10y_nominal,3.2873791386437072,1.0,False
Argentina,primary_balance_gdp,-2.9708386061283574,0.03770891469514607,True
Argentina,debt_gdp,-2.044676814984732,0.26733373311389574,False
Argentina,fx_real_change,-6.154914305480664,7.408501281222849e-08,True
Australia,gdp_real_growth,-2.9228416383079434,0.04275557331699029,True
Australia,gdp_deflator_inflation,-3.165744363737428,0.022055144689984332,True
Australia,yield_10y_nominal,-1.2818805039712085,0.6374207006548476,False
Australia,primary_balance_gdp,0.777968971363554,0.9912720929890941,False
Australia,debt_gdp,-1.052852184496017,0.7335032764248515,False
Australia,fx_real_change,-3.503852344683439,0.007888707129042006,True
Brazil,gdp_real_growth,-2.746111814979468,0.06639311492317182,False
Brazil,gdp_deflator_inflation,-2.150069023550081,0.22486367136772523,False
Brazil,yield_10y_nominal,-1.3719004675211586,0.595670814391182,False
Brazil,primary_balance_gdp,1.8766351989096732,0.9984894880287015,False
Brazil,debt_gdp,0.21781582271388775,0.9732433122597381,False
Brazil,fx_real_change,-1.9242713486519418,0.3207306466245713,False
Canada,gdp_real_growth,-3.5737058027536794,0.0062840770554256796,True
Canada,gdp_deflator_inflation,-4.842624604075188,4.504428917749535e-05,True
Canada,yield_10y_nominal,-2.2735636473027987,0.18063600791972373,False
Canada,primary_balance_gdp,-1.5765241416680704,0.4953745475807966,False
Canada,debt_gdp,-3.257546831038509,0.016886114840977094,True
Canada,fx_real_change,-3.139837742356351,0.02374207621474642,True
China,gdp_real_growth,-1.394148206287338,0.5850783043906755,False
China,gdp_deflator_inflation,-2.2917760649933405,0.17463407441152523,False
China,yield_10y_nominal,-3.828741458419126,0.0026265681211280743,True
China,primary_balance_gdp,-1.5807361079929494,0.4932627567384291,False
China,debt_gdp,4.6096012818982715,1.0,False
China,fx_real_change,-4.316005633396366,0.0004167010680570169,True
Euro Area,gdp_real_growth,-3.5913688211514447,0.005928197539944945,True
Euro Area,gdp_deflator_inflation,-2.2834067984282687,0.17737546725003955,False
Euro Area,yield_10y_nominal,-2.1607420593563345,0.220800969454851,False
Euro Area,primary_balance_gdp,-3.0183479333117087,0.0332160996243298,True
Euro Area,debt_gdp,-1.571998690994415,0.4976424187037024,False
Euro Area,fx_real_change,-1.6278500435952539,0.46861628545543643,False
Global Aggregate,gdp_real_growth,-4.71553308219133,7.867689071596158e-05,True
Global Aggregate,gdp_deflator_inflation,-6.309364080266059,3.263271221163813e-08,True
Global Aggregate,yield_10y_nominal,-1.7127614314757487,0.4245496876553297,False
Global Aggregate,primary_balance_gdp,-2.7306060691635765,0.06889016407667835,False
Global Aggregate,debt_gdp,-0.3935823891771701,0.9111647868719732,False
Global Aggregate,fx_real_change,-1.3875232941671016,0.5882427767229753,False
Greece,gdp_real_growth,-1.5381182143417362,0.5145776592730882,False
Greece,gdp_deflator_inflation,-2.9054697034214705,0.04471563254785934,True
Greece,yield_10y_nominal,-3.2736774037240646,0.016096886315077236,True
Greece,primary_balance_gdp,-1.3746019747138105,0.5943898826304771,False
Greece,debt_gdp,-0.1883851530882205,0.9398919893213835,False
Greece,fx_real_change,-3.573912479865619,0.006279803377716153,True
India,gdp_real_growth,-2.8345640135393717,0.0535036387566839,False
India,gdp_deflator_inflation,-2.81493600941569,0.056171735314190764,False
India,yield_10y_nominal,-1.9882805476240908,0.29173519360384215,False
India,primary_balance_gdp,-2.4998194004493253,0.11551827276335919,False
India,debt_gdp,-2.603606162451822,0.09225423520382009,False
India,fx_real_change,-2.358192079049073,0.15388561092996744,False
Indonesia,gdp_real_growth,-1.5939035908659562,0.4866552130102534,False
Indonesia,gdp_deflator_inflation,-1.1842213002001183,0.6803462156145419,False
Indonesia,yield_10y_nominal,-1.8641147726998595,0.3491263002263142,False
Indonesia,primary_balance_gdp,-1.2577189063266323,0.6482872992865819,False
Indonesia,debt_gdp,-1.6951906153877727,0.43359210458946884,False
Indonesia,fx_real_change,-5.177495690593305,9.77144398572393e-06,True
Ireland,gdp_real_growth,-3.449168007329893,0.009392663077932639,True
Ireland,gdp_deflator_inflation,-3.272169451940817,0.016169268245272806,True
Ireland,yield_10y_nominal,-1.523670185857917,0.5217712404181156,False
Ireland,primary_balance_gdp,-4.625632252235759,0.00011582399670903386,True
Ireland,debt_gdp,-2.901514203732002,0.04517219931055803,True
Ireland,fx_real_change,-0.9234146621640376,0.7801638787672384,False
Italy,gdp_real_growth,-3.430176064541591,0.009972190598744086,True
Italy,gdp_deflator_inflation,-2.631366852365425,0.08668610172835672,False
Italy,yield_10y_nominal,3.7582769539144913,1.0,False
Italy,primary_balance_gdp,-2.2569264544698546,0.18623641429496796,False
Italy,debt_gdp,-1.4613778035688392,0.5525233984559391,False
Italy,fx_real_change,-1.2994051849077106,0.6294443983536765,False
Japan,gdp_real_growth,-5.098424309124656,1.4121631630635193e-05,True
Japan,gdp_deflator_inflation,-0.14749975314885017,0.9444970027145966,False
Japan,yield_10y_nominal,-1.1391242417705598,0.6992202074073508,False
Japan,primary_balance_gdp,-2.4189312323048977,0.1364643412813888,False
Japan,debt_gdp,-2.3403460307822566,0.15928544195268923,False
Japan,fx_real_change,-3.981687848053606,0.0015094935597430787,True
Lebanon,gdp_real_growth,5.0553577627900745,1.0,False
Lebanon,gdp_deflator_inflation,-6.01154992992818,1.56909873367014e-07,True
Lebanon,yield_10y_nominal,-1.392854670308904,0.5856968449733424,False
Lebanon,primary_balance_gdp,0.23355169226068515,0.9740818548147784,False
Lebanon,debt_gdp,0.349607043775933,0.979509398665697,False
Mexico,gdp_real_growth,-3.8401164819081512,0.0025225318795407035,True
Mexico,gdp_deflator_inflation,-5.484527741383099,2.245418515947178e-06,True
Mexico,yield_10y_nominal,-1.7403100611645543,0.41047225158439776,False
Mexico,primary_balance_gdp,-3.2408886808909894,0.01773656939363696,True
Mexico,debt_gdp,-2.461231228434329,0.1251943266375279,False
Mexico,fx_real_change,-3.444285811363852,0.009538687857189742,True
Portugal,gdp_real_growth,-2.2846424631735234,0.17696893097994076,False
Portugal,gdp_deflator_inflation,-2.9201972996084145,0.04304923421243769,True
Portugal,yield_10y_nominal,-5.108929798736277,1.3450811800645037e-05,True
Portugal,primary_balance_gdp,-1.7561116586284689,0.40245826185922234,False
Portugal,debt_gdp,-1.557630904298471,0.5048342846828913,False
Portugal,fx_real_change,-1.4168036592442488,0.5741942497793084,False
Saudi Arabia,gdp_real_growth,-4.119530076955178,0.0008989843535536006,True
Saudi Arabia,gdp_deflator_inflation,-1.9889797183173583,0.2914259149826195,False
Saudi Arabia,yield_10y_nominal,3.4923529298908256,1.0,False
Saudi Arabia,primary_balance_gdp,-2.39370288146564,0.14352161759591564,False
Saudi Arabia,debt_gdp,-2.4326292606489326,0.1327379893415973,False
Saudi Arabia,fx_real_change,-1.9124394675143246,0.32623201099061216,False
South Korea,gdp_real_growth,-6.359306966539546,2.4972687375340906e-08,True
South Korea,gdp_deflator_inflation,1.2668184143589882,0.9964165312676645,False
South Korea,yield_10y_nominal,-1.5456815001174653,0.5108046162255931,False
South Korea,primary_balance_gdp,-1.9550977627248227,0.30660132412071905,False
South Korea,debt_gdp,-1.5376576580032917,0.5148072578616227,False
South Korea,fx_real_change,-3.6735778152397907,0.004500534526341226,True
Spain,gdp_real_growth,-2.0355747733964877,0.2711958448856683,False
Spain,gdp_deflator_inflation,-0.25498766736296785,0.9316419109698993,False
Spain,yield_10y_nominal,-3.25766180995461,0.016880371225859274,True
Spain,primary_balance_gdp,-2.053947177515508,0.2634310573218748,False
Spain,debt_gdp,-1.588738160252481,0.48924821619291414,False
Spain,fx_real_change,-1.6902834106511244,0.4361255813502926,False
Turkey,gdp_real_growth,-3.8300438608243006,0.002614458849844244,True
Turkey,gdp_deflator_inflation,-1.1210394964205457,0.7066090892456051,False
Turkey,yield_10y_nominal,-2.8287609929659343,0.054281455374795,False
Turkey,primary_balance_gdp,-1.0248678399572537,0.7440866288071054,False
Turkey,debt_gdp,0.24299532620688427,0.9745725557899063,False
Turkey,fx_real_change,2.815975169692039,1.0,False
United Kingdom,gdp_real_growth,-3.3172744095893862,0.014123746193710264,True
United Kingdom,gdp_deflator_inflation,-1.732248313353117,0.4145784170353941,False
United Kingdom,yield_10y_nominal,-1.1818051562992864,0.6813732969969012,False
United Kingdom,primary_balance_gdp,-2.1155493334987865,0.23830827764067275,False
United Kingdom,debt_gdp,-0.6162324062306955,0.8672718222590112,False
United Kingdom,fx_real_change,-3.745176270956335,0.003520764406062568,True
United States,gdp_real_growth,-2.884768826515195,0.04714806072525121,True
