country,year,scenario,debt_gdp,domar_gap,isf_pct
Portugal,2025,baseline,85.31857096651241,-9.608429033487603,3.540657121140783
Portugal,2026,baseline,76.44361922730853,-8.874951739203892,3.1723532370130636
Portugal,2027,baseline,68.24615342944661,-8.197465797861932,2.8321645146316263
Portugal,2028,baseline,60.67445642401094,-7.571697005435665,2.5179447308527987
Portugal,2029,baseline,53.68075898680097,-6.993697437209974,2.227711498466842
Portugal,2030,baseline,47.2209384461581,-6.459820540642863,1.959633759477332
Portugal,2031,baseline,41.254240316597794,-5.966698129560305,1.7120202331043097
Portugal,2032,baseline,35.743021182055784,-5.5112191345420065,1.4833087456305858
Portugal,2033,baseline,30.6525112066198,-5.090509975435982,1.2720563747740707
Portugal,2034,baseline,25.95059477444609,-4.701916432173711,1.0769303464077609
Portugal,2025,choque_juros,87.21711096651241,-7.709889033487602,7.632471594787051
Portugal,2026,choque_juros,79.94157286596902,-7.275538100543396,6.995780729040425
Portugal,2027,choque_juros,73.07591573101622,-6.865657134952814,6.394959026952697
Portugal,2028,choque_juros,66.59704815540586,-6.478867575610372,5.827985732501112
Portugal,2029,choque_juros,60.483179630192375,-6.113868525213487,5.292953932710455
Portugal,2030,choque_juros,54.71374725526463,-5.769432374927749,4.788064144093308
Portugal,2031,choque_juros,49.26934657971982,-5.444400675544809,4.311618260410114
Portugal,2032,choque_juros,44.131666338473565,-5.137680241246258,3.8620138413934497
Portugal,2033,choque_juros,39.28342686560434,-4.848239472869222,3.437738723227616
Portugal,2034,choque_juros,34.70832197729672,-4.575104888307623,3.0373659326568885
Portugal,2025,recessao,89.69174596651241,-5.235254033487602,3.7221406250290783
Portugal,2026,recessao,84.72525343222975,-4.96649253428268,3.516034885570521
Portugal,2027,recessao,75.8955936901026,-8.82965974212716,3.149610585572772
Portugal,2028,recessao,67.73996244051358,-8.155631249589032,2.8111579657722174
Portugal,2029,recessao,60.20690646532952,-7.53305597518406,2.4985417559559937
Portugal,2030,recessao,53.2489003234854,-6.958006141844114,2.2097896857328383
Portugal,2031,recessao,46.82204651681931,-6.426853806666091,1.9430800416386527
Portugal,2032,recessao,40.885798544305835,-5.936247972513474,1.696730174093555
Portugal,2033,recessao,35.40270509745949,-5.483093446846345,1.4691858817017285
Portugal,2034,recessao,30.338173783057577,-5.064531314401909,1.2590116059204823
