country,threshold,threshold_metric_baseline,threshold_level_baseline,probability_5y_baseline,probability_anytime_5y_baseline,probability_5y_debt,probability_anytime_5y_debt,probability_5y_isf,probability_anytime_5y_isf,median_debt_5y,median_isf_5y,target_year,stochastic_status_baseline,lags,probability_5y_inclusive,probability_anytime_5y_inclusive,stochastic_status_inclusive,threshold_metric_inclusive,threshold_level_inclusive,delta_probability_5y,delta_probability_anytime_5y,status_changed
Ireland,120.0,debt_gdp,120.0,0.001,0.001,0.001,0.001,0.0,0.0,58.16339791785435,3.9702983785658597,2029,SUSTENTAVEL,1,0.0,0.0,SUSTENTAVEL,debt_gdp,120.0,-0.001,-0.001,False
Italy,120.0,debt_gdp,120.0,0.9991,1.0,0.9991,1.0,0.0,0.0,139.00262526588557,6.89962299501383,2029,INSUSTENTAVEL,1,0.9995,1.0,INSUSTENTAVEL,debt_gdp,120.0,0.00040000000000006697,0.0,False
Greece,80.0,debt_gdp,80.0,0.9995,1.0,0.9995,1.0,0.0,0.0,117.4816705072665,8.774839829583367,2029,INSUSTENTAVEL,1,0.9999,1.0,INSUSTENTAVEL,debt_gdp,80.0,0.00039999999999995595,0.0,False
Australia,120.0,debt_gdp,120.0,0.0,0.0,0.0,0.0,0.0,0.0,57.981493589373684,4.441202724468166,2029,SUSTENTAVEL,1,0.0,0.0,SUSTENTAVEL,debt_gdp,120.0,0.0,0.0,False
Euro Area,120.0,debt_gdp,120.0,0.0,0.0,0.0,0.0,0.0,0.0,84.70233167679687,3.121067618548952,2029,SUSTENTAVEL,1,0.0,0.0,SUSTENTAVEL,debt_gdp,120.0,0.0,0.0,False
Canada,120.0,debt_gdp,120.0,0.0,0.0002,0.0,0.0002,0.0,0.0,96.56500470459999,2.332630096205958,2029,SUSTENTAVEL,1,0.0,0.0015,SUSTENTAVEL,debt_gdp,120.0,0.0,0.0013,False
Argentina,80.0,debt_gdp,80.0,0.0,0.0,0.0,0.0,0.9969,0.9995,39.77401913164602,61.83616232279247,2029,SUSTENTAVEL,1,0.0,0.0,SUSTENTAVEL,debt_gdp,80.0,0.0,0.0,False
Global Aggregate,120.0,debt_gdp,120.0,0.0,0.0,0.0,0.0,0.0,0.0,75.07325815271938,7.420556548620919,2029,SUSTENTAVEL,2,0.0,0.0,SUSTENTAVEL,debt_gdp,120.0,0.0,0.0,False
Japan,120.0,isf_pct,25.0,0.0,0.0,1.0,1.0,0.0,0.0,232.74884486454263,0.6890403107394572,2029,SUSTENTAVEL,1,0.0,0.0,SUSTENTAVEL,isf_pct,25.0,0.0,0.0,False
Indonesia,80.0,debt_gdp,80.0,0.0,0.0,0.0,0.0,0.0,0.0026,29.284794418762203,11.154815760950182,2029,SUSTENTAVEL,2,0.0,0.0,SUSTENTAVEL,debt_gdp,80.0,0.0,0.0,False
South Korea,120.0,debt_gdp,120.0,0.0,0.0,0.0,0.0,0.003,0.069,42.01807799384708,-4.005205555380028,2029,SUSTENTAVEL,1,0.0,0.0,SUSTENTAVEL,debt_gdp,120.0,0.0,0.0,False
Turkey,80.0,debt_gdp,80.0,0.0,0.0,0.0,0.0,0.0,0.0,31.537283484697515,6.787534808764324,2029,SUSTENTAVEL,2,0.0,0.0,SUSTENTAVEL,debt_gdp,80.0,0.0,0.0,False
