country,year,p10,p25,p50,p75,p90,prob_exceed_threshold,threshold
Australia,2025,48.82097649620388,49.3563385934691,49.96676536532301,50.571734217413564,51.11284871277215,0.0,120.0
Australia,2026,48.05276276831566,49.30334982767053,50.69768985124773,52.02706236426877,53.22587943555036,0.0,120.0
Australia,2027,48.16186664290595,50.12565554352618,52.438047982321294,54.64323969975317,56.6419378170246,0.0,120.0
Australia,2028,48.8481131121435,51.69475237487699,54.88528690903192,58.028211788117765,61.03152641176313,0.0,120.0
Australia,2029,50.14636124887289,53.856066695984104,57.981493589373684,62.39226810739277,66.34006308986437,0.0,120.0
Australia,2030,51.82918909077172,56.512311683847955,61.82911804075654,67.41604621068575,72.71772183385531,0.0,120.0
Australia,2031,53.894406388479894,59.813990818666326,66.55354453757664,73.71940848992918,80.61301733267922,0.0,120.0
Australia,2032,56.589516033562525,63.827748842789184,72.18508839615845,81.45082512167221,90.3261466270842,0.0014,120.0
Australia,2033,60.03460048963003,68.71334511591724,79.27805322079166,91.1050494364098,103.0157022130903,0.0199,120.0
Australia,2034,63.996260963122346,74.63829209852861,88.17101005065992,103.30002216639974,119.4777571534166,0.0964,120.0
