country,year,p10,p25,p50,p75,p90,prob_exceed_threshold,threshold
Portugal,2025,86.76686453333674,88.35329845248303,90.06255418003404,91.75467294216799,93.366818096877,0.0,120.0
Portugal,2026,80.01120771063492,83.00311465425239,86.50517094439974,89.94242273344655,93.17815027743158,0.0,120.0
Portugal,2027,73.73304087634044,78.17931750031858,83.37375285825601,88.51402475184393,93.54074973402487,0.0,120.0
Portugal,2028,68.51878015060784,74.2580623023485,80.85480302954892,88.00392799996325,94.48954442235967,0.0002,120.0
Portugal,2029,64.20180733159194,71.25749885504743,79.04549678096177,88.00113475255127,95.85083785313455,0.0013,120.0
Portugal,2030,60.616895943255706,68.80166433131609,77.71743877361317,88.07140037541203,97.51804953314652,0.0045,120.0
Portugal,2031,58.11751007486359,66.73776409998838,77.02479613612624,88.2248322644034,99.22987064345537,0.008,120.0
Portugal,2032,56.12415707781837,65.26077575685449,76.54952451231523,88.71098635441707,100.9242405503586,0.0135,120.0
Portugal,2033,54.463272483751055,64.34294501909108,76.18954170395227,89.41499605343611,102.05356212540701,0.0185,120.0
Portugal,2034,53.20614260487993,63.68760956743375,76.09863625383917,89.9543804284354,103.29612439573664,0.0217,120.0
