country,year,p10,p25,p50,p75,p90,prob_exceed_threshold,threshold
Brazil,2025,82.8253846388097,85.77492025033399,89.09803184486341,92.31497894730798,95.26747678856431,0.9704,80.0
Brazil,2026,79.28888810871925,84.21423777974152,89.59636523348317,95.05350367269817,100.32112339084178,0.8828,80.0
Brazil,2027,78.50856837934163,85.9806321692132,94.44550157632224,102.93274539330801,111.45568350289375,0.8764,80.0
Brazil,2028,81.42022089872417,91.73984371672938,103.24283704454787,115.21812367123208,126.97133798432296,0.9151,80.0
Brazil,2029,84.5659324220416,96.44978638065703,110.30428139009862,124.49413157606794,137.7279929213938,0.9359,80.0
Brazil,2030,88.04633256208824,100.9807511675774,116.28796046391827,132.0928027324522,146.4108190153427,0.9526,80.0
Brazil,2031,88.85377859649422,103.51106807977293,119.584763242354,136.4768431819619,151.77826031934148,0.9505,80.0
Brazil,2032,86.70751987868056,102.33791635880681,119.20098925703815,136.89152117635822,152.68671986083942,0.9402,80.0
Brazil,2033,84.76147836196064,101.21439598660041,119.1678845833857,137.22495851286044,153.80432357469576,0.9268,80.0
Brazil,2034,83.40412654372281,100.9175441148053,119.60203033197064,138.86815765374882,156.4359550435015,0.9208,80.0
