country,year,scenario,debt_gdp,domar_gap,isf_pct
Saudi Arabia,2025,baseline,28.31426948655908,-1.5597305134409183,-0.09750880275392729
Saudi Arabia,2026,baseline,26.877915246366566,-1.4363542401925127,-0.09256227985817732
Saudi Arabia,2027,baseline,25.555178090466743,-1.3227371558998224,-0.08800703196484377
Saudi Arabia,2028,baseline,24.337070791696593,-1.2181072987701485,-0.08381210882245857
Saudi Arabia,2029,baseline,23.215317021721237,-1.1217537699753577,-0.07994900837598846
Saudi Arabia,2030,baseline,22.182295118212085,-1.03302190350915,-0.0763914831120018
Saudi Arabia,2031,baseline,21.230986300098543,-0.951308818113542,-0.0731153617221302
Saudi Arabia,2032,baseline,20.354926979046045,-0.8760593210524971,-0.07009838487313193
Saudi Arabia,2033,baseline,19.548164843144807,-0.8067621359012366,-0.06732005396771075
Saudi Arabia,2034,baseline,18.805218414423546,-0.7429464287212612,-0.06476149186850823
Saudi Arabia,2025,choque_juros,28.91174948655908,-0.9622505134409182,1.7696874552525843
Saudi Arabia,2026,choque_juros,28.006368959162266,-0.9053805273968157,1.7142691360564741
Saudi Arabia,2027,choque_juros,27.15449734367399,-0.8518716154882743,1.662126096005708
Saudi Arabia,2028,choque_juros,26.352972208865626,-0.801525134808366,1.6130647627647217
Saudi Arabia,2029,choque_juros,25.598818026417213,-0.754154182448414,1.5669030043202634
Saudi Arabia,2030,choque_juros,24.889235124765083,-0.7095829016521308,1.523469452846691
Saudi Arabia,2031,choque_juros,24.22158929578833,-0.6676458289767541,1.4826028685315094
Saudi Arabia,2032,choque_juros,23.593402015750705,-0.6281872800376246,1.4441515409994743
Saudi Arabia,2033,choque_juros,23.00234124419482,-0.591060771555885,1.4079727261131378
Saudi Arabia,2034,choque_juros,22.44621276663107,-0.5561284775637515,1.373932116059055
Saudi Arabia,2025,recessao,31.061119486559083,1.187119486559082,-0.10696841657062037
Saudi Arabia,2026,recessao,32.184014599015185,1.122895112456105,-0.11083544757722315
Saudi Arabia,2027,recessao,30.441559576487652,-1.7424550225275324,-0.10483477349379389
Saudi Arabia,2028,recessao,28.836934522105164,-1.6046250543824891,-0.0993087588460889
Saudi Arabia,2029,recessao,27.359236944914862,-1.477697577190301,-0.0942198575889823
Saudi Arabia,2030,recessao,25.99842675210979,-1.3608101928050726,-0.0895334936077836
Saudi Arabia,2031,recessao,24.745258032456608,-1.2531687196531824,-0.08521782579371338
Saudi Arabia,2032,recessao,23.591216235723717,-1.1540417967328902,-0.08124353170214824
Saudi Arabia,2033,recessao,22.52846032128064,-1.0627559144430765,-0.07758360832371912
Saudi Arabia,2034,recessao,21.549769482802148,-0.9786908384784937,-0.07421318861461884
