country,year,p10,p25,p50,p75,p90,prob_exceed_threshold,threshold
Spain,2025,98.88783961018375,99.92507665861392,101.04019730458316,102.152506844542,103.19947629985118,0.0,120.0
Spain,2026,93.32074803782592,95.34121772203679,97.48263011493276,99.68822937467439,101.6797333820301,0.0,120.0
Spain,2027,85.81365354630157,88.74064986457343,91.97396854694696,95.30435359167514,98.31009109224344,0.0,120.0
Spain,2028,78.12457706437935,81.84201072122258,86.22887345175182,90.7285998178799,94.77997595013363,0.0,120.0
Spain,2029,70.832723037545,75.45230870924526,80.99668387621685,86.51542112436101,91.40225057417713,0.0,120.0
Spain,2030,64.09796324041123,69.59528278451745,76.0765808930527,82.59843946825856,88.52837095855182,0.0,120.0
Spain,2031,58.055786882739945,64.17789745227451,71.52282095078854,79.1133012923002,85.79293543982719,0.0,120.0
Spain,2032,52.534352321579654,59.30920042320136,67.43886358569335,75.73795854442909,83.3355535030868,0.0,120.0
Spain,2033,47.791081188092875,55.099607278187165,63.809842927594616,72.92068353062251,81.05449906939579,0.0001,120.0
Spain,2034,43.43142766832983,51.390456776847394,60.48371675056123,70.15454269791095,79.05190278111533,0.0001,120.0
