country,year,scenario,debt_gdp,domar_gap,isf_pct
Brazil,2025,baseline,85.8576035974449,-1.426396402555104,15.426414698680682
Brazil,2026,baseline,84.46092890279151,-1.3966746946534123,15.175467989989667
Brazil,2027,baseline,83.09335660718638,-1.3675722956051442,14.929750237822415
Brazil,2028,baseline,81.7542803062652,-1.33907630092119,14.68915248682951
Brazil,2029,baseline,80.44310623126296,-1.3111740750022491,14.45356805195547
Brazil,2030,baseline,79.15925298572698,-1.2838532455359941,14.222892471132775
Brazil,2031,baseline,77.90215128771601,-1.257101698010982,13.99702345896167
Brazil,2032,baseline,76.67124371737114,-1.230907570344876,13.775860861355111
Brazil,2033,baseline,75.46598446974654,-1.2052592476246018,13.55930661112875
Brazil,2034,baseline,74.28583911279046,-1.1801453569561016,13.347264684516334
Brazil,2025,choque_juros,87.6032835974449,0.319283597444896,20.25186455444623
Brazil,2026,choque_juros,87.92229998002261,0.3190163825777169,20.32561380567637
Brazil,2027,choque_juros,88.24104937137065,0.3187493913480369,20.39930133467421
Brazil,2028,choque_juros,88.55953199493935,0.31848262356868934,20.472927193096325
Brazil,2029,choque_juros,88.87774807399201,0.318216079052664,20.546491432556056
Brazil,2030,choque_juros,89.19569783160512,0.3179497576131075,20.61999410462356
Brazil,2031,choque_juros,89.51338149066844,0.3176836590633226,20.69343526082583
Brazil,2032,choque_juros,89.8307992738852,0.3174177832167683,20.76681495264672
Brazil,2033,choque_juros,90.14795140377227,0.31715212988705976,20.840133231527012
Brazil,2034,choque_juros,90.46483810266024,0.3168866988879682,20.913390148864437
Brazil,2025,recessao,90.03970359744491,2.755703597444896,16.177831069603855
Brazil,2026,recessao,92.80687940908734,2.7671758116424203,16.675021764730882
Brazil,2027,recessao,91.2654032094442,-1.541476199643151,16.398057930341395
Brazil,2028,recessao,89.75604662624228,-1.5093565832019329,16.126865169245633
Brazil,2029,recessao,88.27814038559946,-1.477906240642835,15.86132323005036
Brazil,2030,recessao,86.83102915924003,-1.4471112263594361,15.601314367031017
Brazil,2031,recessao,85.41407127391125,-1.4169578853288018,15.346723287921304
Brazil,2032,recessao,84.02663842685463,-1.3874328470566208,15.097437102790659
Brazil,2033,recessao,82.66811540720614,-1.358523019648502,14.85334527398698
Brazil,2034,recessao,81.33789982320134,-1.3302155840048142,14.614339567122405
