country,year,gdp_deflator_index_weo,gdp_nominal_weo,gdp_real_growth,gdp_real_level_weo,ppp_gdp,gdp_deflator_inflation_weo,gdp_nominal_wb,gdp_real_wb,ppp_gdp_wb,gdp_deflator_inflation_wb,broad_money_current_lcu_wb,broad_money_gdp_wb,gross_savings_gdp_wb,lending_rate_wb,policy_rate_nominal,fx_real_change,household_debt_gdp,private_debt_gdp,m2_nominal_bcra,market_rate_proxy_bcra,natural_rate_hlw,natural_rate_lm,investment_total_nominal,investment_sensitive_nominal,m3_nominal_oecd,yield_10y_nominal_oecd,m2_nominal_bdl,m3_nominal_bdl,debt_gdp,tax_revenue_gdp,interest_paid_gdp,overall_balance_gdp,primary_balance_gdp,gdp_nominal,gdp_real,gdp_deflator_inflation,broad_money_gdp,private_savings_gdp,inflation_target,reserve_currency_flag,threshold_debt_gdp,debt_nominal,tax_revenue_nominal,interest_paid_nominal,m2_nominal,money_source,housing_credit_share,idec_source,avg_debt_nominal,effective_nominal_rate_raw,inflation_forward_12m,yield_source,yield_10y_nominal,policy_source,hlw_source,real_market_rate,m2_to_gdp_ratio,natural_rate_favar,natural_rate_hp,natural_rate_gdp_trend,domar_beta,interest_paid_nominal_adj,interest_paid_net_negative_flag,effective_nominal_rate,effective_real_rate,domar_beta_est,debt_change_share_gdp,marginal_real_rate,required_primary_balance_gdp,domar_gap,domar_inflation_erosion_flag,domar_positive_streak,domar_margin_flag,natural_rate_op_1,natural_rate_op_2,natural_rate_op_3,delta_w_op_1,i_delta_w_op_1,delta_w_op_2,i_delta_w_op_2,delta_w_op_3,i_delta_w_op_3,wicksell_official_count,wicksell_estimator_count,wicksell_auxiliary_count,wicksell_delta_min,wicksell_delta_max,wicksell_integral_mid,wicksell_strict_signal,wicksell_soft_signal,money_velocity,m2_growth_pct,velocity_growth_pct,real_output_growth_pct,ema_pct,delta_m2_to_gdp_ratio,ema_3y_avg,isf_pct,rollover_gap_pct,isf_zone,idec,delta_idec,domar_gap_norm,wicksell_integral_mid_norm,ema_pct_norm,isf_pct_norm,idec_norm,icra,domar_core_violation,domar_marginal_positive_flag,missing_metric_count,core_severe_count,supplementary_severe_count,severe_flag_count,warning_flag_count,status_prelim,status_driver
Argentina,1994,66.168,287.835,5.83,435.006,406656000000.0,2.855543983460551,257440000000.0,358592053441.545,349701129033.532,2.84933971509302,53471032000.0,20.7702889993785,15.6483624533872,,0.6025,,3.925,24.275,,,2.69341288247732,2.015499192,,,,,,,28.426,21.688,1.397,-1.25,0.147,287835000000.0,435006000000.0,2.855543983460551,20.7702889993785,15.6483624533872,2.0,0,80.0,81819977099.99998,62425654800.0,4021054950.0,53471032000.0,world_bank_broad_money_lcu,0.1616889804325437,proxy_credito,81819977099.99998,4.914514880742982,3.164671744649983,realized_funding_cost_proxy,4.914514880742982,,,-2.5621717446499828,0.18576973613354875,-2.5621717446499828,-0.8791993542036389,5.83,,4021054950.0,False,4.914514880742982,2.058970897282431,0.22112414527568505,,2.058970897282431,-1.0719527327384961,-1.2189527327384961,False,0,False,2.69341288247732,2.015499192,-2.5621717446499828,5.255584627127303,5.255584627127303,4.577670936649983,4.577670936649983,0.0,0.0,3,3,0,0.0,5.255584627127303,3.2777518545924287,False,True,5.383008130458376,,,,,,,6.441350055330136,0.0,confortavel,1.0332645407094656,,0.8978256531298844,1.0,0.0,0.06365644447878759,0.31633189937422873,0.5605293525482065,False,False,1,0,1,1,2,LIMIAR,Sem violacao observada dominante
Argentina,1995,68.262,288.497,-2.845,422.63,403369000000.0,3.164671744649983,258031750000.0,348389357874.283,346874927371.834,3.16512339016516,51970875000.0,20.1412713745498,16.5116322700598,,0.7525,-6.24822621721437,4.025,24.675,,,2.69341288247732,2.015499192,,,,,,,30.749,20.788,1.6670000000000005,-2.075,-0.408,288497000000.0,422630000000.0,3.164671744649983,20.1412713745498,16.5116322700598,2.0,0,80.0,88709942530.0,59972756360.0,4809244990.000001,51970875000.0,world_bank_broad_money_lcu,0.1631205673758865,proxy_credito,85264959815.0,5.640353317980392,-0.0512730362427049,realized_funding_cost_proxy,5.640353317980392,,,0.8037730362427048,0.18014355435238494,-0.8791993542036389,1.645686688822267,1.4925,,4809244990.000001,False,5.640353317980392,2.4756815733304096,0.22112414527568505,2.3882277562678347,3.003776394658802,1.7984402535936352,2.206440253593635,False,1,False,2.69341288247732,2.015499192,-0.8791993542036389,1.8896398462346151,7.1452244733619175,1.2117261557572951,5.7893970924072775,-1.6829723904463436,0.0,3,3,0,-1.6829723904463436,1.8896398462346151,4.311540521923065,False,True,5.55112839643358,-2.80555086350307,3.123165744891554,-2.8450182296336113,1.162633111022095,-0.005626181781163808,1.162633111022095,8.019049451606698,0.0,confortavel,0.9879130343259259,-0.045351506383539686,0.9352948046463693,0.004502536169866649,0.2865920006911161,0.0915279137266251,0.28123355169480396,0.3808850178030749,True,False,0,1,1,2,2,INSUSTENTAVEL,Violação observada da condição de Domar
Argentina,1996,68.227,304.282,5.527,445.987,433455000000.0,-0.0512730362427049,272149750000.0,367643757074.802,372747062317.193,-0.0523754965904146,61752085000.0,22.6904801492561,17.1300773563084,,6.230833333333333,-1.9448247933586127,4.175,25.9,,,2.69341288247732,2.015499192,,,,,,,32.551,19.876,1.845,-2.811,-0.966,304282000000.0,445987000000.0,-0.0512730362427049,22.6904801492561,17.1300773563084,2.0,0,80.0,99046833820.0,60479090320.00001,5614002900.0,61752085000.0,world_bank_broad_money_lcu,0.1611969111969112,proxy_credito,93878388175.0,5.98008019645039,-0.4646254415407447,realized_funding_cost_proxy,5.98008019645039,,,6.695458774874078,0.2029436016589874,1.645686688822267,5.337865511344791,2.837333333333333,,5614002900.0,False,5.98008019645039,6.031353232693095,0.22112414527568505,3.3971418914033693,6.782543329809889,0.408691909286417,1.374691909286417,False,2,False,2.69341288247732,2.015499192,1.645686688822267,-4.002045892396758,7.1452244733619175,-4.679959582874078,5.7893970924072775,-5.049772086051811,0.0,3,3,0,-5.049772086051811,-4.002045892396758,4.311540521923065,False,False,4.927477347525999,18.82056055434895,-11.234671662580464,5.526583536426655,0.059305355341832566,0.022800047306602456,0.6109692331819638,9.28255182129201,0.0,confortavel,0.9410168316464028,-0.0468962026795231,0.937089161420462,0.0026948531789818273,0.20627442431178794,0.09713937818583787,0.27483835095461523,0.3651100884065789,True,False,0,1,1,2,1,INSUSTENTAVEL,Violação observada da condição de Domar
Argentina,1997,67.91,327.436,8.111,482.16,476692000000.0,-0.4646254415407447,292859000000.0,397463514160.866,409929944205.048,-0.46391313116429,77520318000.0,26.4701846280975,16.6642824266429,,6.809166666666666,2.964363844533935,4.675,28.225,,,2.69341288247732,2.015499192,,,,,,,31.676,20.748,2.09,-1.838,0.252,327436000000.0,482160000000.0,-0.4646254415407447,26.4701846280975,16.6642824266429,2.0,0,80.0,103718627360.0,67936421280.0,6843412399.999999,77520318000.0,world_bank_broad_money_lcu,0.1656333038086802,proxy_credito,101382730590.0,6.750077020193227,-1.7051980562509228,realized_funding_cost_proxy,6.750077020193227,,,8.51436472291759,0.2367495266250504,3.362856197346097,7.830213084541399,4.15575,,6843412399.999999,False,6.750077020193227,7.214702461733971,0.22112414527568505,1.4267806655346387,7.530198116896191,-0.18397480449196277,-0.4359748044919628,False,0,False,2.69341288247732,2.015499192,3.362856197346097,-5.820951840440269,7.1452244733619175,-6.498865530917589,5.7893970924072775,-5.151508525571492,0.0,3,3,0,-6.498865530917589,-5.151508525571492,4.311540521923065,False,False,4.223873281840769,25.534737814925613,-14.279194323206735,8.110774529302422,1.1447689624164568,0.033805924966062995,0.7889024762601281,10.073260073260073,0.0,atencao,0.9939420106314643,0.05292517898506144,0.8096916560539206,0.002071828760826912,0.2674380956975196,0.08565611469616732,0.4972988239765696,0.35949137274796883,False,False,0,0,1,1,2,LIMIAR,Sem violacao observada dominante
Argentina,1998,66.752,334.244,3.85,500.725,500611000000.0,-1.7051980562509228,298948250000.0,412766570325.764,430497422050.132,-1.70527962400085,85650721000.0,28.650684859336,16.1297343275958,,6.444166666666667,3.939762792166146,5.75,30.875,,,2.69341288247732,2.015499192,,,,,,,34.147,21.303,2.348,-1.827,0.521,334244000000.0,500725000000.0,-1.7051980562509228,28.650684859336,16.1297343275958,2.0,0,80.0,114134298680.0,71203999320.0,7848049119.999999,85650721000.0,world_bank_broad_money_lcu,0.1862348178137652,proxy_credito,108926463020.0,7.204905862553361,-1.836649089165865,realized_funding_cost_proxy,7.204905862553361,,,8.280815755832531,0.256252082311126,4.346448109043385,7.515808157833423,4.094600000000001,,7848049119.999999,False,7.204905862553361,8.910103918804284,0.22112414527568505,3.1161879704646904,9.59916832029166,1.9631685063299933,1.4421685063299932,False,1,False,2.69341288247732,2.015499192,4.346448109043385,-5.587402873355211,7.1452244733619175,-6.265316563832531,5.7893970924072775,-3.9343676467891466,0.0,3,3,0,-6.265316563832531,-3.9343676467891466,4.311540521923065,False,False,3.9024073130686197,10.488092941001614,-7.610691593286956,3.8503816160610604,-2.9729802683464017,0.019502555686075618,-0.5896353168627041,11.02192179505234,0.0,atencao,1.1546056124132345,0.1606636017817702,0.38069777473815897,0.0017474158256061863,0.35294154267545935,0.10526870239825417,0.4028493253541928,0.2413097328080985,True,False,0,1,1,2,1,INSUSTENTAVEL,Violação observada da condição de Domar
Argentina,1999,65.526,316.998,-3.385,483.773,490507000000.0,-1.836649089165865,283523000000.0,398792535409.293,421808836974.514,-1.83655839220664,89150058000.0,31.44367758524,13.6619163753345,,6.79,9.761008692329742,6.55,32.2,,,2.69341288247732,2.015499192,,,,,,,38.917,21.766,3.0460000000000003,-3.705,-0.659,316998000000.0,483773000000.0,-1.836649089165865,31.44367758524,13.6619163753345,2.0,0,80.0,123366111660.0,68997784680.0,9655759080.0,89150058000.0,world_bank_broad_money_lcu,0.2034161490683229,proxy_credito,118750205170.0,8.131151492477038,1.0377560052498458,realized_funding_cost_proxy,8.131151492477038,,,5.752243994750154,0.2812322412128783,6.009331256923412,7.617934588911431,2.2516000000000003,,9655759080.0,False,8.131151492477038,9.967800581642903,0.22112414527568505,2.9122622161654017,10.61177207501115,5.447123788432089,6.106123788432089,False,2,False,2.69341288247732,2.015499192,6.009331256923412,-3.058831112272834,7.1452244733619175,-3.736744802750154,5.7893970924072775,0.2570872621732576,0.2570872621732576,3,3,0,-3.736744802750154,0.2570872621732576,4.397236275980817,False,True,3.5557800758806013,4.085589658959199,-8.882395131518228,-3.3854910379949033,-3.411314434564126,0.024980158901752314,-1.7465085801646902,13.994303041440778,0.0,atencao,1.488928371978433,0.3343227595651985,0.845283817246431,0.0017811309129170724,0.2973034300204634,0.15829022889565145,0.7012493642304416,0.4073595846636431,True,False,0,1,1,2,3,INSUSTENTAVEL,Violação observada da condição de Domar
Argentina,2000,66.206,317.759,-0.789,479.956,497660000000.0,1.0377560052498458,284203750000.0,395646066535.875,427960175928.847,1.03728710073175,90514975371.93,31.8486210586349,14.3684376958258,,7.724166666666666,-0.7047327967918959,7.199999999999999,30.175,,,2.69341288247732,2.015499192,,,,,,,40.833,21.83,3.628,-3.417,0.211,317759000000.0,479956000000.0,1.0377560052498458,31.8486210586349,14.3684376958258,2.0,0,80.0,129750532469.99998,69366789700.0,11528296520.0,90514975371.93,world_bank_broad_money_lcu,0.2386081193040596,proxy_credito,126558322065.0,9.1090781956473,-1.0965773494849396,realized_funding_cost_proxy,9.1090781956473,,,8.820744016151606,0.2848541673782017,7.612725452905193,17.2996370876568,2.6628000000000003,,11528296520.0,False,9.1090781956473,8.071322190397453,0.22112414527568505,2.0092021972627006,8.515605308953196,3.799349485804858,3.588349485804858,False,3,False,2.69341288247732,2.015499192,7.612725452905193,-6.127331133674286,7.1452244733619175,-6.805244824151606,5.7893970924072775,-1.208018563246413,0.2570872621732576,3,3,0,-6.805244824151606,-1.208018563246413,4.397236275980817,False,False,3.510568264470209,1.5310336331245011,-1.2715019052238596,-0.7890064141653164,-0.9514618579340421,0.0036219261653233636,-2.44525218694819,16.61933119560238,0.0,pressao,1.6606406650138312,0.17171229303539826,0.5263332190784886,0.0017793220487577397,0.4661864419751251,0.19198420609796768,0.7790852911470791,0.3582882446601641,True,False,0,1,1,2,1,INSUSTENTAVEL,Violação observada da condição de Domar
Argentina,2001,65.48,300.421,-4.409,458.795,486430000000.0,-1.0965773494849396,268696750000.0,378202665751.853,418303583400.374,-1.09576771833679,72922287000.0,27.1392515912455,14.2140728227831,,67.88181818181818,4.894521424377074,6.525,31.3,,,2.69341288247732,2.015499192,,,,,,,48.007,21.068,4.112,-5.364,-1.252,300421000000.0,458795000000.0,-1.0965773494849396,27.1392515912455,14.2140728227831,2.0,0,80.0,144223109470.0,63292696280.0,12353311520.000002,72922287000.0,world_bank_broad_money_lcu,0.2084664536741214,proxy_credito,136986820970.0,9.01788320403856,30.555894929749527,realized_funding_cost_proxy,9.01788320403856,,,37.32592325206865,0.2427336537725392,13.738818348344108,25.746425117855196,0.6756000000000002,,12353311520.000002,False,9.01788320403856,10.1144605535235,0.22112414527568505,4.817431870608251,11.179711058335595,7.483672517775168,8.735672517775168,False,4,False,2.69341288247732,2.015499192,13.738818348344108,-34.63251036959133,7.1452244733619175,-35.31042406006865,5.7893970924072775,-23.58710490372454,0.2570872621732576,3,3,0,-35.31042406006865,-23.58710490372454,4.397236275980817,False,False,4.119741883575319,-19.43621848168313,17.352564405895187,-4.408945820033505,0.3252917442455612,-0.04212051360566249,-1.345828182750869,19.517752041010066,0.0,pressao,1.4666201325490598,-0.19402053246477147,0.7322373753601229,0.001777717673115729,0.3809142837628492,0.2120840592971478,0.5991593845618288,0.3880270461296407,True,False,0,1,1,2,1,INSUSTENTAVEL,Violação observada da condição de Domar
Argentina,2002,85.488,112.458,-10.894,408.812,440172000000.0,30.555894929749527,97724004251.8602,336999433710.193,378523791536.921,30.555204053903,87294434000.0,27.9270695501951,21.3431768782392,,41.46833333333333,-54.66246001958497,4.3,74.8,,,2.69341288247732,2.015499192,,,,,,,147.203,19.943,2.145,-1.91,0.235,112458000000.0,408812000000.0,30.555894929749527,27.9270695501951,21.3431768782392,2.0,0,80.0,165541549740.0,22427498940.000004,2412224100.0,87294434000.0,world_bank_broad_money_lcu,0.0574866310160427,proxy_credito,154882329605.0,1.557455977161469,10.375725247988022,realized_funding_cost_proxy,1.557455977161469,,,31.092608085345304,0.776240320830888,18.25446702082965,21.965836483048157,-3.1254,,2412224100.0,False,1.557455977161469,-28.99843895258806,0.22112414527568505,18.956801890483558,-24.806632337394394,-20.47981217961467,-20.71481217961467,True,0,False,2.69341288247732,2.015499192,18.25446702082965,-28.399195202867986,7.1452244733619175,-29.077108893345304,5.7893970924072775,-12.838141064515654,0.2570872621732576,3,3,0,-29.077108893345304,-12.838141064515654,4.397236275980817,False,False,1.2882608300089327,19.70885389263779,-68.72957417198877,-10.894408177944392,-40.12631210140659,0.5335066670583488,-13.584160738365023,10.755653612796468,0.0,atencao,0.26934430307164897,-1.1972758294774108,0.0,0.0017763036404485576,0.0,0.13347666316036982,0.09752302923825347,0.03021787830799296,False,False,0,0,0,0,1,LIMIAR,Sem violacao observada dominante
Argentina,2003,94.358,142.431,8.955,445.423,489059000000.0,10.375725247988022,127586973492.177,366780211148.674,420107758525.601,10.4957030215496,113164011000.0,30.1040572265399,21.7345330075457,,3.458333333333333,0.5617232075722178,2.7,46.8,63923768800.0,8.841616465863455,2.69341288247732,2.015499192,,,,,,,125.162,23.526,1.726,1.5,3.226,142431000000.0,445423000000.0,10.375725247988022,30.1040572265399,21.7345330075457,2.0,0,80.0,178269488220.0,33508317060.0,2458359060.0,63923768800.0,bcra_m2,0.0576923076923077,proxy_credito,171905518980.0,1.4300640692553988,5.979355221602822,bcra_badlar_proxy,8.841616465863455,,,-2.5210218882694893,0.44880516741439713,16.094099492009246,6.792306510136384,-2.1044000000000005,,2458359060.0,False,1.4300640692553988,-8.945661178732623,0.22112414527568505,8.936213661351813,-6.969648570865303,-19.93160864426643,-23.15760864426643,False,0,False,2.69341288247732,2.015499192,16.094099492009246,5.214434770746809,12.359659244108727,4.536521080269489,10.325918172676767,18.615121380278737,18.872208642451994,3,3,0,4.536521080269489,18.615121380278737,13.852595353079161,True,True,2.2281383384266293,-26.772228341614547,72.95708186758884,8.955461189984648,35.229392335989644,-0.3274351534164909,-1.5238760070571284,7.336563801751255,7.411552396608056,confortavel,0.2654407512334327,-0.0039035518382162793,0.0,0.005480087894127775,1.0,0.09929918834132592,0.10934194727125207,0.22719909495185606,False,False,0,0,1,1,1,LIMIAR,Sem violacao observada dominante
