country,domar_threshold,isf_threshold,status_prelim,status_final,is_baseline_rule
Indonesia,0.0,20.0,LIMIAR,LIMIAR,False
Indonesia,0.0,25.0,LIMIAR,LIMIAR,False
Indonesia,0.5,18.0,LIMIAR,LIMIAR,False
Indonesia,0.5,20.0,LIMIAR,LIMIAR,True
Indonesia,0.5,25.0,LIMIAR,LIMIAR,False
Indonesia,1.0,18.0,LIMIAR,LIMIAR,False
Indonesia,1.0,20.0,LIMIAR,LIMIAR,False
Indonesia,1.0,25.0,LIMIAR,LIMIAR,False
Ireland,0.0,18.0,LIMIAR,LIMIAR,False
Ireland,0.0,20.0,LIMIAR,LIMIAR,False
Ireland,0.0,25.0,LIMIAR,LIMIAR,False
Ireland,0.5,18.0,LIMIAR,LIMIAR,False
Ireland,0.5,20.0,LIMIAR,LIMIAR,True
Ireland,0.5,25.0,LIMIAR,LIMIAR,False
Ireland,1.0,18.0,LIMIAR,LIMIAR,False
Ireland,1.0,20.0,LIMIAR,LIMIAR,False
Ireland,1.0,25.0,LIMIAR,LIMIAR,False
Italy,0.0,18.0,LIMIAR,INSUSTENTAVEL,False
Italy,0.0,20.0,LIMIAR,INSUSTENTAVEL,False
Italy,0.0,25.0,LIMIAR,INSUSTENTAVEL,False
Italy,0.5,18.0,LIMIAR,INSUSTENTAVEL,False
Italy,0.5,20.0,LIMIAR,INSUSTENTAVEL,True
Italy,0.5,25.0,LIMIAR,INSUSTENTAVEL,False
Italy,1.0,18.0,LIMIAR,INSUSTENTAVEL,False
Italy,1.0,20.0,LIMIAR,INSUSTENTAVEL,False
Italy,1.0,25.0,LIMIAR,INSUSTENTAVEL,False
Japan,0.0,18.0,LIMIAR,LIMIAR,False
Japan,0.0,20.0,LIMIAR,LIMIAR,False
Japan,0.0,25.0,LIMIAR,LIMIAR,False
Japan,0.5,18.0,LIMIAR,LIMIAR,False
Japan,0.5,20.0,LIMIAR,LIMIAR,True
Japan,0.5,25.0,LIMIAR,LIMIAR,False
Japan,1.0,18.0,LIMIAR,LIMIAR,False
Japan,1.0,20.0,LIMIAR,LIMIAR,False
Japan,1.0,25.0,LIMIAR,LIMIAR,False
Lebanon,0.0,18.0,LIMIAR,INSUSTENTAVEL,False
Lebanon,0.0,20.0,LIMIAR,INSUSTENTAVEL,False
Lebanon,0.0,25.0,LIMIAR,INSUSTENTAVEL,False
Lebanon,0.5,18.0,LIMIAR,INSUSTENTAVEL,False
Lebanon,0.5,20.0,LIMIAR,INSUSTENTAVEL,True
Lebanon,0.5,25.0,LIMIAR,INSUSTENTAVEL,False
Lebanon,1.0,18.0,LIMIAR,INSUSTENTAVEL,False
Lebanon,1.0,20.0,LIMIAR,INSUSTENTAVEL,False
Lebanon,1.0,25.0,LIMIAR,INSUSTENTAVEL,False
Mexico,0.0,18.0,INSUSTENTAVEL,INSUSTENTAVEL,False
Mexico,0.0,20.0,INSUSTENTAVEL,INSUSTENTAVEL,False
Mexico,0.0,25.0,INSUSTENTAVEL,INSUSTENTAVEL,False
Mexico,0.5,18.0,INSUSTENTAVEL,INSUSTENTAVEL,False
Mexico,0.5,20.0,INSUSTENTAVEL,INSUSTENTAVEL,True
Mexico,0.5,25.0,INSUSTENTAVEL,INSUSTENTAVEL,False
Mexico,1.0,18.0,INSUSTENTAVEL,INSUSTENTAVEL,False
Mexico,1.0,20.0,INSUSTENTAVEL,INSUSTENTAVEL,False
Mexico,1.0,25.0,INSUSTENTAVEL,INSUSTENTAVEL,False
Portugal,0.0,18.0,LIMIAR,LIMIAR,False
Portugal,0.0,20.0,LIMIAR,LIMIAR,False
Portugal,0.0,25.0,LIMIAR,LIMIAR,False
Portugal,0.5,18.0,LIMIAR,LIMIAR,False
Portugal,0.5,20.0,LIMIAR,LIMIAR,True
Portugal,0.5,25.0,LIMIAR,LIMIAR,False
Portugal,1.0,18.0,LIMIAR,LIMIAR,False
Portugal,1.0,20.0,LIMIAR,LIMIAR,False
Portugal,1.0,25.0,LIMIAR,LIMIAR,False
Saudi Arabia,0.0,18.0,INSUSTENTAVEL,INSUSTENTAVEL,False
Saudi Arabia,0.0,20.0,INSUSTENTAVEL,INSUSTENTAVEL,False
Saudi Arabia,0.0,25.0,INSUSTENTAVEL,INSUSTENTAVEL,False
Saudi Arabia,0.5,18.0,INSUSTENTAVEL,INSUSTENTAVEL,False
Saudi Arabia,0.5,20.0,INSUSTENTAVEL,INSUSTENTAVEL,True
Saudi Arabia,0.5,25.0,INSUSTENTAVEL,INSUSTENTAVEL,False
Saudi Arabia,1.0,18.0,INSUSTENTAVEL,INSUSTENTAVEL,False
Saudi Arabia,1.0,20.0,INSUSTENTAVEL,INSUSTENTAVEL,False
Saudi Arabia,1.0,25.0,INSUSTENTAVEL,INSUSTENTAVEL,False
South Korea,0.0,18.0,LIMIAR,LIMIAR,False
South Korea,0.0,20.0,LIMIAR,LIMIAR,False
South Korea,0.0,25.0,LIMIAR,LIMIAR,False
South Korea,0.5,18.0,LIMIAR,LIMIAR,False
South Korea,0.5,20.0,LIMIAR,LIMIAR,True
South Korea,0.5,25.0,LIMIAR,LIMIAR,False
South Korea,1.0,18.0,LIMIAR,LIMIAR,False
South Korea,1.0,20.0,LIMIAR,LIMIAR,False
South Korea,1.0,25.0,LIMIAR,LIMIAR,False
Spain,0.0,18.0,LIMIAR,LIMIAR,False
Spain,0.0,20.0,LIMIAR,LIMIAR,False
Spain,0.0,25.0,LIMIAR,LIMIAR,False
Spain,0.5,18.0,LIMIAR,LIMIAR,False
Spain,0.5,20.0,LIMIAR,LIMIAR,True
Spain,0.5,25.0,LIMIAR,LIMIAR,False
Spain,1.0,18.0,LIMIAR,LIMIAR,False
Spain,1.0,20.0,LIMIAR,LIMIAR,False
Spain,1.0,25.0,LIMIAR,LIMIAR,False
Turkey,0.0,18.0,LIMIAR,LIMIAR,False
Turkey,0.0,20.0,LIMIAR,LIMIAR,False
Turkey,0.0,25.0,LIMIAR,LIMIAR,False
Turkey,0.5,18.0,LIMIAR,LIMIAR,False
Turkey,0.5,20.0,LIMIAR,LIMIAR,True
Turkey,0.5,25.0,LIMIAR,LIMIAR,False
Turkey,1.0,18.0,LIMIAR,LIMIAR,False
Turkey,1.0,20.0,LIMIAR,LIMIAR,False
Turkey,1.0,25.0,LIMIAR,LIMIAR,False
United Kingdom,0.0,18.0,INSUSTENTAVEL,INSUSTENTAVEL,False
United Kingdom,0.0,20.0,INSUSTENTAVEL,INSUSTENTAVEL,False
United Kingdom,0.0,25.0,INSUSTENTAVEL,INSUSTENTAVEL,False
United Kingdom,0.5,18.0,INSUSTENTAVEL,INSUSTENTAVEL,False
United Kingdom,0.5,20.0,INSUSTENTAVEL,INSUSTENTAVEL,True
United Kingdom,0.5,25.0,INSUSTENTAVEL,INSUSTENTAVEL,False
United Kingdom,1.0,18.0,LIMIAR,LIMIAR,False
United Kingdom,1.0,20.0,LIMIAR,LIMIAR,False
United Kingdom,1.0,25.0,LIMIAR,LIMIAR,False
United States,0.0,18.0,INSUSTENTAVEL,INSUSTENTAVEL,False
United States,0.0,20.0,INSUSTENTAVEL,INSUSTENTAVEL,False
United States,0.0,25.0,INSUSTENTAVEL,INSUSTENTAVEL,False
United States,0.5,18.0,INSUSTENTAVEL,INSUSTENTAVEL,False
United States,0.5,20.0,INSUSTENTAVEL,INSUSTENTAVEL,True
United States,0.5,25.0,INSUSTENTAVEL,INSUSTENTAVEL,False
United States,1.0,18.0,INSUSTENTAVEL,INSUSTENTAVEL,False
United States,1.0,20.0,INSUSTENTAVEL,INSUSTENTAVEL,False
United States,1.0,25.0,INSUSTENTAVEL,INSUSTENTAVEL,False
